client_id,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
1,1,34,1,0,0,2022-05-24
2,1,333,0,0,0,2022-05-27
3,1,128,1,0,0,2022-05-31
4,1,102,0,0,0,2022-05-16
5,1,400,1,0,0,2022-05-12
6,1,175,0,0,0,2022-05-23
7,1,69,0,0,0,2022-05-25
8,2,126,0,0,0,2022-05-06
9,2,285,1,0,0,2022-05-26
10,2,327,0,0,0,2022-05-17
11,5,168,0,0,0,2022-05-11
12,5,127,0,0,0,2022-05-04
13,2,314,0,0,0,2022-05-25
14,3,147,1,0,0,2022-05-22
15,2,472,0,0,0,2022-05-17
16,1,246,0,0,0,2022-05-09
17,2,213,1,0,0,2022-05-23
18,2,173,0,0,0,2022-05-06
19,2,220,0,0,0,2022-05-02
20,3,130,0,0,0,2022-05-31
21,3,299,0,0,0,2022-05-31
22,6,247,0,0,0,2022-05-30
23,6,111,0,0,0,2022-05-20
24,2,195,1,0,0,2022-05-02
25,2,148,0,0,0,2022-05-15
26,3,286,0,0,0,2022-05-10
27,2,96,0,0,0,2022-05-09
28,4,75,0,0,0,2022-05-21
29,2,386,0,0,0,2022-05-08
30,3,544,0,0,0,2022-05-21
31,2,127,1,0,0,2022-05-26
32,2,155,1,0,0,2022-05-17
33,4,184,0,0,0,2022-05-08
34,2,120,1,0,0,2022-05-10
35,2,480,0,0,0,2022-05-23
36,2,194,1,0,0,2022-05-08
37,2,1232,0,0,1,2022-05-03
38,2,69,1,0,0,2022-05-06
39,3,133,0,0,0,2022-05-30
40,2,193,0,0,0,2022-05-17
41,2,70,1,0,0,2022-05-30
42,2,206,0,0,0,2022-05-19
43,2,152,1,1,0,2022-05-10
44,2,243,0,0,0,2022-05-09
45,2,437,1,0,0,2022-05-28
46,4,259,0,0,0,2022-05-04
47,5,182,0,0,0,2022-05-09
48,2,447,0,0,0,2022-05-25
49,2,238,1,0,0,2022-05-12
50,2,410,1,0,0,2022-05-02
51,2,472,0,0,0,2022-05-19
52,2,83,1,0,0,2022-05-29
53,2,254,0,0,0,2022-05-07
54,3,56,0,0,0,2022-05-18
55,2,204,1,0,0,2022-05-17
56,2,102,0,0,0,2022-05-01
57,2,226,0,0,0,2022-05-24
58,3,217,1,0,0,2022-05-24
59,6,217,0,0,0,2022-05-16
60,3,379,0,0,0,2022-05-26
61,2,145,0,0,0,2022-05-27
62,3,74,0,0,0,2022-05-12
63,2,271,0,0,0,2022-05-18
64,2,0,0,0,0,2022-05-26
65,4,258,1,0,0,2022-05-13
66,3,180,0,0,0,2022-05-19
67,2,196,0,0,0,2022-05-29
68,2,135,2,0,0,2022-05-17
69,3,300,2,0,0,2022-05-30
70,2,347,0,0,0,2022-05-15
71,4,1001,0,0,0,2022-05-22
72,2,72,0,0,0,2022-05-29
73,2,498,0,0,0,2022-05-04
74,2,279,0,0,0,2022-05-09
75,3,50,1,0,0,2022-05-23
76,2,171,0,0,0,2022-05-17
77,2,211,1,0,0,2022-05-16
78,3,567,1,0,0,2022-05-10
79,3,170,1,0,0,2022-05-24
80,2,772,1,0,0,2022-05-01
81,2,298,2,0,0,2022-05-16
82,2,120,0,0,0,2022-05-16
83,2,219,0,0,0,2022-05-06
84,7,877,0,0,1,2022-05-25
85,2,214,0,0,0,2022-05-01
86,2,82,1,0,0,2022-05-11
87,3,304,2,0,0,2022-05-23
88,5,273,0,0,0,2022-05-01
89,3,471,0,0,0,2022-05-09
90,2,133,0,0,0,2022-05-21
91,2,301,1,0,0,2022-05-13
92,3,350,0,0,0,2022-05-13
93,3,86,0,0,0,2022-05-07
94,4,94,0,0,0,2022-05-13
95,2,1388,0,0,1,2022-05-07
96,3,508,2,0,0,2022-05-07
97,2,338,0,0,0,2022-05-19
98,4,208,1,0,0,2022-05-08
99,4,1143,0,0,0,2022-05-05
100,3,503,1,0,0,2022-05-14
101,3,58,0,0,0,2022-05-19
102,5,142,0,0,0,2022-05-14
103,3,276,0,0,0,2022-05-28
104,3,201,0,0,0,2022-05-09
105,2,63,1,0,0,2022-05-21
106,3,222,0,0,0,2022-05-27
107,2,168,0,0,0,2022-05-16
108,4,192,1,0,0,2022-05-09
109,3,911,0,0,1,2022-05-23
110,2,439,0,0,0,2022-05-17
111,2,163,0,0,0,2022-05-13
112,3,273,0,0,0,2022-05-30
113,4,284,0,0,0,2022-05-23
114,2,288,0,0,0,2022-05-15
115,2,136,0,0,0,2022-05-11
116,3,66,0,0,0,2022-05-18
117,2,445,0,0,0,2022-05-02
118,2,123,0,0,0,2022-05-19
119,2,285,0,0,0,2022-05-27
120,2,927,0,0,0,2022-05-27
121,3,48,1,0,0,2022-05-12
